2021-01-20 09:42:24,665 : DEBUG : ModalContext :  : Joiner2NodeFactory : Shift Assignment : 4 : Factory is already initialized. Nothing to do.
2021-01-20 10:27:11,879 : DEBUG : KNIME-Worker-162-Table Reader 4:49 :  : Buffer : Table Reader : 4:49 : Closing input stream on "/private/var/folders/03/x4dq25p539g442md670f3z8c0000gn/T/knime_Shift Assignmen97600/knime_container_20210120_300046927678941177.tmp", 0 remaining
2021-01-20 10:27:11,880 : DEBUG : KNIME-Worker-164-File Upload Widget 4:31:0:30 :  : WorkflowManager : File Upload Widget : 4:31:0:30 : File Upload Widget 4:31:0:30 doAfterExecute - success
2021-01-20 10:27:11,880 : DEBUG : KNIME-Worker-164-File Upload Widget 4:31:0:30 :  : NodeContainer : File Upload Widget : 4:31:0:30 : File Upload Widget 4:31:0:30 has new state: EXECUTED
2021-01-20 10:27:11,880 : INFO  : KNIME-Worker-162-Table Reader 4:49 :  : LocalNodeExecutionJob : Table Reader : 4:49 : Table Reader 4:49 End execute (0 secs)
2021-01-20 10:27:11,887 : DEBUG : KNIME-Worker-164-File Upload Widget 4:31:0:30 :  : VariableTypeRegistry : Excel Reader (XLS) (deprecated) : 4:31:0:12 : The following variable types could all correspond to the config 'element_names': [STRINGARRAY, BOOLEANARRAY, INTARRAY, LONGARRAY, DOUBLEARRAY]. Taking the first.
2021-01-20 10:27:11,887 : DEBUG : KNIME-Worker-164-File Upload Widget 4:31:0:30 :  : VariableTypeRegistry : Excel Reader (XLS) (deprecated) : 4:31:0:12 : The following variable types could all correspond to the config 'element_names': [STRINGARRAY, BOOLEANARRAY, INTARRAY, LONGARRAY, DOUBLEARRAY]. Taking the first.
2021-01-20 10:27:11,892 : DEBUG : KNIME-Worker-164-File Upload Widget 4:31:0:30 :  : Node : Excel Reader (XLS) (deprecated) : 4:31:0:12 : Configure succeeded. (Excel Reader (XLS) (deprecated))
2021-01-20 10:27:11,892 : DEBUG : KNIME-Worker-164-File Upload Widget 4:31:0:30 :  : NodeContainer : File Upload Widget : 4:31:0:30 : Excel Reader (XLS) (deprecated) 4:31:0:12 has new state: CONFIGURED_QUEUED
2021-01-20 10:27:11,894 : DEBUG : KNIME-Worker-164-File Upload Widget 4:31:0:30 :  : Node : Component Output : 4:31:0:32 : Configure succeeded. (Component Output)
2021-01-20 10:27:11,894 : DEBUG : KNIME-Worker-162-Table Reader 4:49 :  : WorkflowManager : Table Reader : 4:49 : Table Reader 4:49 doBeforePostExecution
2021-01-20 10:27:11,894 : DEBUG : KNIME-Worker-162-Table Reader 4:49 :  : NodeContainer : Table Reader : 4:49 : Table Reader 4:49 has new state: POSTEXECUTE
2021-01-20 10:27:11,894 : DEBUG : KNIME-Worker-162-Table Reader 4:49 :  : WorkflowManager : Table Reader : 4:49 : Table Reader 4:49 doAfterExecute - success
2021-01-20 10:27:11,894 : DEBUG : KNIME-Worker-162-Table Reader 4:49 :  : NodeContainer : Table Reader : 4:49 : Table Reader 4:49 has new state: EXECUTED
2021-01-20 10:27:11,895 : DEBUG : KNIME-Worker-162-Table Reader 4:49 :  : Node : Joiner : 4:13 : Configure succeeded. (Joiner)
